City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
120,Isabela,PH,84.25,overcast clouds,6.7085,121.9711,No hotel found
122,Mahebourg,MU,72.25,few clouds,-20.4081,57.7,Grand Bel Air
123,Kalakamati,BW,65.17,broken clouds,-20.5929,27.3121,No hotel found
125,Bredasdorp,ZA,66.61,few clouds,-34.5322,20.0403,Victoria Hotel
127,Port Hedland,AU,87.85,broken clouds,-20.3167,118.5667,The Esplanade Hotel
128,Minjur,IN,75.22,clear sky,13.2667,80.2667,No hotel found
129,Kolondieba,ML,69.75,scattered clouds,11.0882,-6.8926,No hotel found
130,Nikolskoye,RU,28.8,clear sky,59.7035,30.7861,No hotel found
131,Svetlogorsk,BY,46.42,overcast clouds,52.6333,29.7333,Гостиница Светочь
134,Port Alfred,ZA,63.18,clear sky,-33.5906,26.891,No hotel found
135,Hamilton,US,53.94,mist,39.1834,-84.5333,North Vista Manor
136,Paita,PE,71.04,overcast clouds,-5.0892,-81.1144,Victor's
137,Cardston,CA,32.29,clear sky,49.2,-113.3019,South Country Inn
138,Abancay,PE,60.31,overcast clouds,-13.6339,-72.8814,Hotel Turistas
139,Victoria,HK,67.24,overcast clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
140,Roald,NO,32.09,broken clouds,62.5833,6.1333,No hotel found
141,Gravdal,NO,38.41,overcast clouds,68.1214,13.5031,No hotel found
142,Guerrero Negro,MX,62.8,broken clouds,27.9769,-114.0611,Plaza sal paraiso
143,Turbat,PK,59.9,clear sky,26.0023,63.044,No hotel found
144,Kovdor,RU,24.85,light snow,67.5662,30.4758,Уют
145,Padang,ID,75.85,overcast clouds,-0.9492,100.3543,losmen Surya
146,Bajil,YE,76.53,overcast clouds,15.0584,43.2851,فندق و أجنحة الشرق الأوسط
147,Makasar,ID,82.45,few clouds,-5.14,119.4221,Pondok Dahlia House
148,Pinerolo,IT,50.63,overcast clouds,44.8833,7.35,Hotel Barrage
