City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Codrington,AU,-38.2667,141.9667,69.69,60,16,12.55,few clouds
201,Katherine,AU,-14.4667,132.2667,77.32,88,75,9.22,broken clouds
202,Anstruther,GB,56.2231,-2.7023,35.69,93,75,9.22,broken clouds
203,Takoradi,GH,4.8845,-1.7554,78.22,70,0,4.63,clear sky
204,Port Keats,AU,-14.25,129.55,81.55,82,99,23.85,overcast clouds
205,Xinyu,CN,27.8043,114.9334,45.21,73,81,3.76,broken clouds
206,Clyde River,CA,70.4692,-68.5914,-21.77,69,100,16.11,overcast clouds
207,Filadelfia,US,39.9523,-75.1638,49.15,79,20,4.61,few clouds
208,Souillac,MU,-20.5167,57.5167,71.98,88,20,5.75,few clouds
209,Leo,BF,11.1,-2.1,65.07,17,7,7.85,clear sky
210,Karratha,AU,-20.7377,116.8463,84.49,43,50,22.46,scattered clouds
211,Omboue,GA,-1.5746,9.2618,77.56,82,98,4.09,light rain
212,Klyavlino,RU,54.2649,52.0267,30.2,97,100,18.81,light snow
213,Gizo,SB,-8.103,156.8419,84.22,71,100,8.34,overcast clouds
214,Nanortalik,GL,60.1432,-45.2371,10.08,67,7,13.71,clear sky
215,Coihaique,CL,-45.5752,-72.0662,51.75,66,100,5.75,light rain
216,Bilma,NE,18.6853,12.9164,57.74,29,0,6.98,clear sky
217,Miri,MY,4.4148,114.0089,76.15,94,40,8.05,scattered clouds
218,Nishihara,JP,26.1842,127.7558,63.68,64,75,13.8,broken clouds
219,Clonakilty,IE,51.6231,-8.8706,38.41,82,13,10.4,few clouds
220,Luderitz,NA,-26.6481,15.1594,66.78,81,70,10.22,broken clouds
221,Vostok,RU,46.4856,135.8833,-13.27,95,100,6.89,overcast clouds
222,Sa Kaeo,TH,13.75,102.3333,69.44,65,100,4.54,overcast clouds
223,Chitral,PK,35.8462,71.7858,26.98,35,0,8.3,clear sky
224,Taltal,CL,-25.4,-70.4833,66.36,79,37,4.03,scattered clouds
225,Redmond,US,47.674,-122.1215,46.51,90,43,1.97,scattered clouds
226,Lata,PT,40.1629,-8.3327,50.92,95,80,1.92,broken clouds
227,Poum,NC,-20.2333,164.0167,78.44,74,70,9.98,broken clouds
228,Eberswalde,DE,52.8349,13.8195,56.3,75,100,5.97,overcast clouds
229,California City,US,35.1258,-117.9859,47.98,68,100,17.0,overcast clouds
230,Vanimo,PG,-2.6741,141.3028,84.45,68,38,2.57,scattered clouds
231,Araguaina,BR,-7.1911,-48.2072,74.98,86,89,3.91,overcast clouds
232,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,73.06,74,98,4.34,overcast clouds
233,Yashan,CN,22.1975,109.9419,61.97,54,99,6.11,overcast clouds
234,Siilinjarvi,FI,63.0833,27.6667,26.62,80,0,13.8,clear sky
235,Semenivka,UA,52.1783,32.5818,42.6,87,98,13.0,overcast clouds
236,Bima,ID,-8.4667,118.7167,79.05,89,100,1.23,overcast clouds
237,Sevierville,US,35.8681,-83.5618,57.43,83,0,0.0,clear sky
238,Mazatlan,MX,23.2167,-106.4167,75.16,87,0,9.22,clear sky
239,Grand Gaube,MU,-20.0064,57.6608,72.37,79,36,4.18,scattered clouds
240,Saldanha,ZA,-33.0117,17.9442,65.88,82,0,8.5,clear sky
241,Barra Patuca,HN,15.8,-84.2833,77.34,83,77,8.12,broken clouds
242,Pangnirtung,CA,66.1451,-65.7125,-24.0,88,64,5.91,broken clouds
243,Manicore,BR,-5.8092,-61.3003,74.41,96,98,1.45,overcast clouds
244,Ocna Sibiului,RO,45.8833,24.05,37.62,93,62,4.61,mist
245,Clarence Town,AU,-32.5833,151.7833,79.61,36,0,5.26,clear sky
246,Tay Ninh,VN,11.3,106.1,70.79,79,83,4.76,broken clouds
247,Vrangel,RU,42.7297,133.0839,11.77,62,6,17.69,clear sky
248,Mar Del Plata,AR,-38.0023,-57.5575,68.09,95,75,15.01,light rain
249,Katsuura,JP,35.1333,140.3,46.62,56,3,11.83,clear sky
250,Hofn,IS,64.2539,-15.2082,23.9,57,52,7.4,broken clouds
251,Brainerd,US,46.358,-94.2008,23.29,93,100,8.05,mist
252,Almaznyy,RU,48.0448,40.045,43.2,87,96,18.57,overcast clouds
253,Chakradharpur,IN,22.7,85.6333,54.77,62,0,2.77,clear sky
254,Jalpan,MX,21.2333,-99.4833,76.41,51,66,7.58,broken clouds
255,Raudeberg,NO,61.9875,5.1352,34.47,67,71,11.81,broken clouds
256,Pindobacu,BR,-10.7417,-40.3608,73.69,76,95,5.93,overcast clouds
257,Kampene,CD,-3.6,26.6667,67.41,99,100,1.61,light rain
258,Hervey Bay,AU,-25.2986,152.8535,76.17,63,64,14.23,broken clouds
259,Kruisfontein,ZA,-34.0033,24.7314,62.89,97,20,3.83,few clouds
260,Komsomolskiy,UZ,40.4272,71.7189,32.72,86,75,4.61,mist
261,Batticaloa,LK,7.7102,81.6924,75.88,75,96,9.95,overcast clouds
262,Valparaiso,CL,-33.0393,-71.6273,73.04,49,0,8.05,clear sky
263,Bemidji,US,47.4736,-94.8803,19.17,93,100,4.61,mist
264,Kathmandu,NP,27.7167,85.3167,44.82,93,40,3.44,mist
265,Seoul,KR,37.5683,126.9778,22.57,50,0,6.91,clear sky
266,Bagamoyo,TZ,-6.4333,38.9,76.19,86,17,5.01,few clouds
267,Nacozari,MX,25.3366,-108.2574,73.06,62,5,6.46,clear sky
268,Ulladulla,AU,-35.35,150.4667,77.23,58,10,11.65,clear sky
269,Bubaque,GW,11.2833,-15.8333,78.91,76,75,9.35,broken clouds
270,Arman,RU,59.7,150.1667,14.02,83,100,14.05,overcast clouds
271,Carnot,CF,4.9409,15.8665,70.75,36,3,3.87,clear sky
272,Dzilam Gonzalez,MX,21.2833,-88.9333,77.59,73,84,8.95,broken clouds
273,Galle,LK,6.0367,80.217,74.28,84,100,3.69,overcast clouds
274,Bolivar,US,37.6145,-93.4105,57.99,83,79,7.38,broken clouds
275,Nouakchott,MR,18.0858,-15.9785,71.53,33,0,11.72,clear sky
276,Olafsvik,IS,64.8945,-23.7142,36.81,61,100,27.83,overcast clouds
277,Ulaangom,MN,49.9811,92.0667,-13.05,98,100,0.67,overcast clouds
278,Makakilo City,US,21.3469,-158.0858,81.45,61,100,3.44,overcast clouds
279,Canico,PT,32.6333,-16.85,64.71,88,75,12.66,moderate rain
280,Albenga,IT,44.0529,8.216,58.06,93,100,3.0,overcast clouds
281,Kentau,KZ,43.5206,68.5094,29.39,66,100,3.31,overcast clouds
282,Pashiya,RU,58.4324,58.2562,12.74,94,100,6.38,overcast clouds
283,Great Falls,US,47.5002,-111.3008,36.41,63,0,6.91,clear sky
284,Evensk,RU,61.95,159.2333,-14.33,76,0,7.7,clear sky
285,Tilichiki,RU,60.4667,166.1,-18.8,99,20,9.44,few clouds
286,Beringovskiy,RU,63.05,179.3167,-13.14,89,90,11.77,overcast clouds
287,Khromtau,KZ,50.2503,58.4347,26.89,98,100,8.01,overcast clouds
288,Rafsanjan,IR,30.4067,55.9939,37.54,48,59,4.54,broken clouds
289,Praia,CV,14.9215,-23.5087,73.76,76,100,11.74,overcast clouds
290,Tessalit,ML,20.1986,1.0114,58.78,19,0,11.36,clear sky
291,Muros,ES,42.7762,-9.0603,48.69,96,54,10.07,broken clouds
292,Nhamunda,BR,-2.1861,-56.7131,75.7,94,93,0.81,overcast clouds
293,Kasempa,ZM,-13.4584,25.8338,63.54,99,100,2.59,moderate rain
294,Olinda,BR,-8.0089,-34.8553,74.93,94,75,9.22,mist
295,Vila,PT,42.0304,-8.1588,38.28,95,82,2.82,broken clouds
296,Tongzi,CN,28.7829,105.0877,44.91,84,94,1.83,overcast clouds
297,Ambilobe,MG,-13.2,49.05,72.43,92,74,3.11,broken clouds
298,Khandbari,NP,27.3747,87.2039,46.29,74,39,3.22,scattered clouds
299,Pilar,BR,-9.5972,-35.9567,73.33,93,82,5.93,broken clouds
300,Uray,RU,60.1247,64.7758,-2.49,95,97,10.78,overcast clouds
301,Khuzhir,RU,53.1939,107.3397,4.98,84,44,4.09,scattered clouds
302,Remontnoye,RU,46.5614,43.6501,45.99,83,100,24.9,overcast clouds
303,Nipawin,CA,53.3668,-104.0009,12.24,92,100,12.66,overcast clouds
304,Sergeyevka,KZ,53.88,67.4158,4.6,95,100,6.51,overcast clouds
305,Jalu,LY,29.0331,21.5482,54.1,66,78,5.5,broken clouds
306,Yenagoa,NG,4.9247,6.2642,74.52,79,40,3.15,scattered clouds
307,South Lyon,US,42.4606,-83.6516,44.76,89,88,3.0,overcast clouds
308,Avera,US,33.194,-82.5271,56.71,84,42,4.99,scattered clouds
